resultado_id,simulado_id,aluno_id,ano,status_realizacao,nota,acertos,tempo_finalizacao_min,inicio_simulado,dispositivo,tentativas,unidade_aplicacao
R00000031,S20210001,A00764,2021,Finalizado,75.2,47.0,242.0,2021-06-19 18:00:00,Papel,1.0,Sul
R00000032,S20210001,A00085,2021,Finalizado,85.1,53.0,202.0,2021-09-07 08:45:00,Desktop,1.0,Sul
R00000033,S20210001,A00368,2021,Finalizado,53.9,34.0,260.0,2021-06-08 00:00:00,Papel,3.0,Não informado
R00000034,S20210001,A00487,2021,Finalizado,70.0,41.0,258.0,2021-11-10 13:15:00,Tablet,1.0,Aldeota
R00000035,S20210001,A00621,2021,Finalizado,34.2,19.0,234.0,2021-06-25 13:45:00,Não informado,1.0,Online
R00000036,S20210001,A00502,2021,Finalizado,42.4,26.0,261.0,2021-09-12 10:30:00,Desktop,2.0,Online
R00000037,S20210001,A00481,2021,Finalizado,51.7,29.0,287.0,2021-07-07 13:00:00,Celular,2.0,Online
R00000038,S20210001,A00275,2021,Finalizado,66.7,40.0,199.0,2021-04-07 19:30:00,Papel,1.0,Sul
R00000039,S20210001,A00458,2021,Incompleto,71.6,41.0,248.0,2021-06-25 00:00:00,Tablet,1.0,Aldeota
R00000040,S20210001,A00004,2021,Finalizado,42.5,27.0,102.0,2021-07-07 18:45:00,Celular,1.0,Online
R00000041,S20210001,A00108,2021,Finalizado,46.5,32.0,73.0,2021-04-20 08:15:00,Tablet,3.0,Sul
R00000042,S20210001,A00791,2021,Finalizado,55.2,32.0,236.0,2021-06-02 12:00:00,Celular,1.0,Centro
R00000043,S20210001,A00410,2021,Finalizado,21.3,12.0,117.0,2021-09-04 16:00:00,Papel,1.0,Sul
R00000044,S20210001,A00636,2021,Finalizado,66.5,41.0,174.0,2021-10-08 15:45:00,Não informado,1.0,Não informado
R00000045,S20210001,A00550,2021,Finalizado,25.8,15.0,207.0,2021-04-09 14:30:00,Papel,3.0,Online
R00000046,S20210001,A00648,2021,Finalizado,71.8,42.0,270.0,2021-09-15 18:15:00,Tablet,1.0,Online
R00000047,S20210001,A00199,2021,Finalizado,45.9,26.0,189.0,2021-09-03 14:00:00,Papel,1.0,Sul
R00000048,S20210001,A00237,2021,Finalizado,58.5,37.0,247.0,2021-08-03 08:00:00,Papel,1.0,Sul
R00000049,S20210001,A00347,2021,Finalizado,48.8,30.0,334.0,2021-05-03 12:30:00,Desktop,1.0,Online
R00000050,S20210001,A00288,2021,Finalizado,76.1,42.0,222.0,2021-11-21 08:45:00,Papel,1.0,Aldeota
R00000051,S20210001,A00323,2021,Finalizado,74.4,44.0,209.0,2021-06-01 15:30:00,Não informado,3.0,Online
R00000052,S20210001,A00024,2021,Finalizado,54.7,34.0,179.0,2021-04-24 15:45:00,Tablet,2.0,Sul
R00000053,S20210001,A00559,2021,Finalizado,80.6,48.0,252.0,2021-08-07 08:00:00,Desktop,1.0,Aldeota
R00000054,S20210001,A00507,2021,Ausente,,,,2021-04-01 16:00:00,Celular,1.0,Não informado
R00000055,S20210001,A00313,2021,Finalizado,28.8,19.0,100.0,2021-08-22 15:00:00,Desktop,1.0,Sul
R00000056,S20210001,A00721,2021,Finalizado,66.5,43.0,256.0,2021-11-05 13:00:00,Tablet,1.0,Online
R00000057,S20210001,A00796,2021,Finalizado,44.2,25.0,179.0,2021-06-09 17:30:00,Não informado,1.0,Sul
R00000058,S20210001,A00776,2021,Finalizado,55.2,35.0,194.0,2021-11-17 12:15:00,Desktop,2.0,Sul
R00000059,S20210001,A00140,2021,Finalizado,59.1,34.0,200.0,2021-08-24 14:30:00,Desktop,1.0,Online
R00000060,S20210001,A00499,2021,Finalizado,64.6,38.0,269.0,2021-08-05 11:30:00,Tablet,1.0,Online
R00000061,S20210001,A00057,2021,Finalizado,52.0,30.0,181.0,,Celular,1.0,Sul
R00000062,S20210001,A00150,2021,Finalizado,,60.0,221.0,2021-09-28 13:30:00,Tablet,1.0,Centro
R00000063,S20210001,A00586,2021,Finalizado,67.8,43.0,197.0,2021-05-21 15:30:00,Papel,1.0,Aldeota
R00000064,S20210001,A00531,2021,Finalizado,23.4,13.0,198.0,2021-07-20 09:00:00,Celular,1.0,Aldeota
R00000065,S20210001,A00050,2021,Finalizado,74.4,45.0,219.0,2021-05-26 09:15:00,Celular,2.0,Não informado
R00000066,S20210001,A00591,2021,Finalizado,71.4,44.0,250.0,2021-07-17 18:30:00,Celular,1.0,Online
R00000067,S20210001,A00582,2021,Finalizado,56.1,35.0,264.0,2021-06-20 14:45:00,Celular,1.0,Centro
R00000068,S20210001,A00340,2021,Finalizado,89.0,53.0,159.0,2021-05-04 09:15:00,Papel,1.0,Aldeota
R00000069,S20210001,A00774,2021,Finalizado,58.0,36.0,215.0,2021-06-12 17:15:00,Desktop,2.0,Online
R00000070,S20210001,A00625,2021,Finalizado,67.8,43.0,205.0,2021-09-27 10:00:00,Celular,3.0,Online
R00000071,S20210001,A00494,2021,Ausente,,,,2021-08-21 17:45:00,Desktop,1.0,Online
R00000072,S20210001,A00672,2021,Incompleto,58.8,36.0,227.0,2021-09-05 18:45:00,Não informado,3.0,Aldeota
R00000073,S20210001,A00103,2021,Finalizado,79.6,47.0,244.0,2021-06-28 12:00:00,Não informado,1.0,Não informado
R00000074,S20210001,A00296,2021,Ausente,,,,2021-11-23 00:00:00,Celular,1.0,Não informado
R00000075,S20210001,A00102,2021,Finalizado,60.9,35.0,184.0,2021-07-16 08:15:00,Desktop,1.0,Aldeota
R00000076,S20210001,A00793,2021,Finalizado,66.6,41.0,210.0,2021-05-04 11:15:00,Desktop,3.0,Online
R00000077,S20210001,A00306,2021,Ausente,,,,2021-07-13 17:30:00,Não informado,1.0,Não informado
R00000078,S20210001,A00241,2021,Finalizado,28.2,17.0,210.0,2021-09-09 17:45:00,Celular,3.0,Aldeota
R00000079,S20210001,A00750,2021,Finalizado,72.2,40.0,343.0,,Papel,1.0,Aldeota
R00000080,S20210001,A00072,2021,Finalizado,76.1,44.0,238.0,2021-08-05 16:00:00,Desktop,1.0,Aldeota
R00000081,S20210001,A00132,2021,Ausente,,,,2021-09-21 19:30:00,Celular,1.0,Online
R00000082,S20210001,A00365,2021,Finalizado,53.7,33.0,182.0,2021-08-14 19:15:00,Desktop,1.0,Sul
R00000083,S20210001,A00262,2021,Finalizado,53.3,30.0,190.0,2021-11-14 08:15:00,Celular,1.0,Online
R00000084,S20210001,A00363,2021,Finalizado,20.0,10.0,174.0,2021-06-02 12:15:00,Papel,2.0,Sul
R00000085,S20210001,A00025,2021,Finalizado,65.0,41.0,218.0,2021-04-19 14:15:00,Não informado,1.0,Online
R00000086,S20210001,A00560,2021,Ausente,,,,2021-05-27 18:45:00,Tablet,2.0,Aldeota
R00000087,S20210001,A00176,2021,Finalizado,90.0,55.0,143.0,2021-05-15 13:00:00,Papel,1.0,Sul
R00000088,S20210001,A00372,2021,Finalizado,72.5,41.0,194.0,2021-04-15 12:45:00,Desktop,3.0,Não informado
R00000089,S20210001,A00554,2021,Incompleto,70.5,45.0,267.0,2021-04-18 08:30:00,Não informado,2.0,Online
R00000090,S20210001,A00409,2021,Finalizado,91.3,52.0,207.0,2021-09-15 09:45:00,Tablet,1.0,Centro
R00000091,S20210001,A00785,2021,Finalizado,66.5,38.0,217.0,2021-11-15 14:15:00,Desktop,3.0,Online
R00000092,S20210001,A00547,2021,Finalizado,92.8,53.0,275.0,2021-10-09 11:15:00,Desktop,1.0,Não informado
R00000093,S20210001,A00167,2021,Finalizado,60.1,35.0,194.0,2021-06-17 19:15:00,Tablet,3.0,Online
R00000094,S20210001,A00355,2021,Finalizado,44.8,28.0,277.0,2021-09-16 15:30:00,Desktop,1.0,Centro
R00000095,S20210001,A00280,2021,Finalizado,62.1,32.0,212.0,2021-05-23 00:00:00,Tablet,3.0,Não informado
R00000096,S20210001,A00144,2021,Finalizado,82.5,51.0,107.0,2021-10-08 10:45:00,Desktop,3.0,Online
R00000097,S20210001,A00191,2021,Finalizado,71.9,44.0,156.0,2021-06-17 11:15:00,Tablet,3.0,Online
R00000098,S20210001,A00618,2021,Finalizado,54.8,30.0,243.0,2021-04-11 10:00:00,Desktop,2.0,Online
R00000099,S20210001,A00542,2021,Finalizado,84.5,50.0,311.0,2021-08-22 12:00:00,Papel,1.0,Sul
R00000100,S20210001,A00754,2021,Finalizado,69.5,43.0,211.0,2021-05-23 13:30:00,Desktop,3.0,Aldeota
R00000101,S20210001,A00443,2021,Finalizado,39.0,22.0,237.0,2021-09-04 15:30:00,Papel,1.0,Centro
R00000102,S20210001,A00605,2021,Finalizado,35.4,22.0,202.0,2021-07-25 13:15:00,Não informado,1.0,Centro
R00000103,S20210001,A00413,2021,Finalizado,35.4,19.0,246.0,2021-05-19 14:45:00,Celular,1.0,Sul
R00000104,S20210001,A00755,2021,Finalizado,57.6,34.0,286.0,2021-04-21 09:30:00,Celular,3.0,Online
R00000105,S20210001,A00445,2021,Finalizado,73.7,41.0,162.0,2021-08-20 14:30:00,Celular,1.0,Online
R00000106,S20210001,A00289,2021,Ausente,,,,2021-10-21 16:45:00,Tablet,1.0,Não informado
R00000107,S20210001,A00328,2021,Finalizado,58.3,34.0,324.0,2021-05-02 11:00:00,Papel,1.0,Não informado
R00000108,S20210001,A00382,2021,Finalizado,65.8,42.0,188.0,2021-07-15 13:00:00,Não informado,3.0,Sul
R00000109,S20210001,A00343,2021,Finalizado,72.2,43.0,195.0,2021-06-06 10:45:00,Desktop,1.0,Online
R00000110,S20210001,A00067,2021,Finalizado,56.7,31.0,200.0,2021-07-20 11:15:00,Tablet,2.0,Sul
R00000111,S20210001,A00698,2021,Finalizado,57.3,34.0,169.0,2021-09-24 10:15:00,Tablet,1.0,Online
R00000112,S20210001,A00211,2021,Finalizado,65.9,39.0,233.0,2021-04-07 15:45:00,Não informado,3.0,Online
R00000113,S20210001,A00783,2021,Ausente,,,,2021-08-19 17:15:00,Celular,1.0,Online
R00000114,S20210001,A00141,2021,Finalizado,60.4,36.0,177.0,2021-10-12 11:15:00,Não informado,1.0,Online
R00000115,S20210001,A00353,2021,Finalizado,59.9,34.0,169.0,2021-11-14 11:45:00,Celular,2.0,Online
R00000116,S20210001,A00013,2021,Finalizado,44.1,25.0,100.0,2021-11-02 17:45:00,Papel,1.0,Centro
R00000117,S20210001,A00717,2021,Finalizado,31.3,18.0,217.0,2021-06-02 13:00:00,Não informado,1.0,Centro
R00000118,S20210001,A00689,2021,Finalizado,43.4,28.0,320.0,2021-11-27 15:45:00,Papel,3.0,Online
R00000119,S20210001,A00392,2021,Finalizado,63.8,38.0,213.0,2021-07-03 08:15:00,Desktop,3.0,Aldeota
R00000120,S20210001,A00471,2021,Ausente,,,,2021-09-16 00:00:00,Papel,1.0,Online
R00000121,S20210001,A00174,2021,Não informado,57.2,35.0,219.0,2021-10-07 13:45:00,Tablet,1.0,Aldeota
R00000122,S20210001,A00248,2021,Incompleto,56.9,32.0,195.0,2021-10-20 12:00:00,Papel,1.0,Sul
R00000123,S20210001,A00307,2021,Incompleto,62.2,39.0,173.0,2021-10-14 00:00:00,Desktop,1.0,Sul
R00000124,S20210001,A00524,2021,Finalizado,50.5,34.0,223.0,2021-05-26 12:30:00,Não informado,1.0,Aldeota
R00000125,S20210001,A00595,2021,Finalizado,68.3,41.0,271.0,2021-08-01 16:45:00,Papel,1.0,Online
R00000126,S20210001,A00652,2021,Finalizado,69.8,44.0,179.0,2021-05-11 14:45:00,Celular,3.0,Aldeota
R00000127,S20210001,A00356,2021,Incompleto,82.1,46.0,239.0,2021-11-05 10:15:00,Não informado,3.0,Não informado
R00000128,S20210001,A00229,2021,Finalizado,40.6,27.0,201.0,2021-10-06 13:30:00,Tablet,1.0,Sul
R00000129,S20210001,A00053,2021,Finalizado,65.0,38.0,211.0,2021-04-13 08:00:00,Desktop,2.0,Online
R00000130,S20210001,A00526,2021,Finalizado,67.5,41.0,170.0,2021-09-09 09:30:00,Desktop,3.0,Centro
R00000131,S20210001,A00578,2021,Ausente,,,,2021-07-10 12:30:00,Tablet,1.0,Aldeota
R00000132,S20210001,A00720,2021,Finalizado,79.5,46.0,112.0,2021-07-08 09:45:00,Não informado,1.0,Sul
R00000133,S20210001,A00268,2021,Ausente,,,,2021-09-13 11:45:00,Tablet,1.0,Centro
R00000134,S20210001,A00046,2021,Finalizado,71.8,45.0,274.0,2021-06-01 08:00:00,Papel,1.0,Online
R00000135,S20210001,A00338,2021,Finalizado,58.4,38.0,249.0,2021-04-09 15:00:00,Não informado,1.0,Centro
R00000136,S20210001,A00212,2021,Finalizado,58.6,32.0,184.0,2021-07-20 09:00:00,Tablet,3.0,Aldeota
R00000137,S20210001,A00333,2021,Finalizado,70.9,46.0,264.0,2021-07-13 14:00:00,Desktop,1.0,Centro
R00000138,S20210001,A00196,2021,Incompleto,39.7,27.0,231.0,2021-07-04 19:45:00,Desktop,1.0,Não informado
R00000139,S20210002,A00343,2021,Finalizado,93.5,44.0,155.0,2021-06-16 13:45:00,Celular,3.0,Online
R00000140,S20210002,A00471,2021,Finalizado,48.8,23.0,182.0,2021-08-10 13:15:00,Tablet,2.0,Aldeota
R00000141,S20210002,A00376,2021,Finalizado,52.5,23.0,183.0,2021-11-09 16:30:00,Tablet,1.0,Online
R00000142,S20210002,A00520,2021,Finalizado,61.0,27.0,277.0,2021-07-13 00:00:00,Tablet,1.0,Centro
R00000143,S20210002,A00534,2021,Finalizado,51.5,22.0,256.0,2021-07-20 12:15:00,Celular,3.0,Não informado
R00000144,S20210002,A00237,2021,Finalizado,80.1,37.0,255.0,2021-05-08 10:30:00,Celular,1.0,Não informado
R00000145,S20210002,A00268,2021,Finalizado,49.4,22.0,163.0,2021-07-18 19:30:00,Celular,1.0,Online
R00000146,S20210002,A00295,2021,Finalizado,57.5,28.0,173.0,2021-07-22 00:00:00,Não informado,1.0,Online
R00000147,S20210002,A00289,2021,Finalizado,53.1,23.0,216.0,2021-11-28 12:00:00,Celular,3.0,Online
R00000148,S20210002,A00011,2021,Finalizado,45.2,19.0,303.0,2021-10-18 14:45:00,Não informado,1.0,Não informado
R00000149,S20210002,A00227,2021,Finalizado,58.3,27.0,181.0,2021-06-28 14:30:00,Papel,1.0,Centro
R00000150,S20210002,A00618,2021,Finalizado,47.7,21.0,273.0,2021-04-01 13:15:00,Desktop,1.0,Não informado
R00000151,S20210002,A00582,2021,Finalizado,55.5,25.0,197.0,2021-05-08 16:45:00,Celular,1.0,Aldeota
R00000152,S20210002,A00521,2021,Finalizado,93.8,40.0,222.0,2021-09-20 19:00:00,Papel,3.0,Centro
R00000153,S20210002,A00275,2021,Ausente,,,,2021-08-08 09:30:00,Celular,1.0,Centro
R00000154,S20210002,A00754,2021,Ausente,,,,2021-04-11 09:00:00,Não informado,1.0,Centro
R00000155,S20210002,A00798,2021,Finalizado,85.5,38.0,197.0,2021-06-06 17:30:00,Tablet,1.0,Centro
R00000156,S20210002,A00241,2021,Finalizado,68.8,30.0,257.0,2021-08-20 17:45:00,Papel,3.0,Online
R00000157,S20210002,A00356,2021,Finalizado,39.8,18.0,247.0,2021-09-25 19:00:00,Celular,1.0,Online
R00000158,S20210002,A00652,2021,Finalizado,55.5,24.0,295.0,2021-05-15 17:30:00,Celular,2.0,Online
R00000159,S20210002,A00698,2021,Finalizado,40.2,19.0,168.0,2021-10-08 12:45:00,Desktop,1.0,Aldeota
R00000160,S20210002,A00132,2021,Finalizado,54.9,23.0,214.0,2021-10-05 17:00:00,Desktop,3.0,Online
R00000161,S20210002,A00033,2021,Ausente,,,,2021-04-05 16:00:00,Desktop,1.0,Centro
R00000162,S20210002,A00307,2021,Finalizado,67.0,33.0,284.0,2021-06-28 11:15:00,Desktop,1.0,Não informado
R00000163,S20210002,A00103,2021,Finalizado,71.7,30.0,183.0,2021-09-28 08:45:00,Papel,1.0,Centro
R00000164,S20210002,A00636,2021,Finalizado,53.6,25.0,184.0,2021-05-21 11:00:00,Papel,3.0,Sul
R00000165,S20210002,A00775,2021,Finalizado,89.6,38.0,222.0,2021-10-23 10:45:00,Celular,1.0,Online
R00000166,S20210002,A00487,2021,Finalizado,78.0,35.0,115.0,2021-04-02 11:45:00,Papel,3.0,Aldeota
R00000167,S20210002,A00328,2021,Finalizado,66.6,30.0,186.0,2021-07-10 10:00:00,Tablet,3.0,Não informado
R00000168,S20210002,A00536,2021,Não informado,42.0,18.0,57.0,2021-04-16 17:15:00,Desktop,1.0,Online
R00000169,S20210002,A00526,2021,Finalizado,65.4,26.0,279.0,2021-11-04 17:00:00,Desktop,1.0,Não informado
R00000170,S20210002,A00347,2021,Finalizado,35.1,16.0,198.0,2021-04-09 15:15:00,Desktop,1.0,Não informado
R00000171,S20210002,A00191,2021,Finalizado,49.9,23.0,226.0,2021-07-24 17:45:00,Não informado,2.0,Online
R00000172,S20210002,A00346,2021,Finalizado,93.5,41.0,223.0,2021-11-08 14:00:00,Desktop,2.0,Sul
R00000173,S20210002,A00413,2021,Finalizado,74.8,33.0,257.0,2021-11-08 10:15:00,Não informado,1.0,Online
R00000174,S20210002,A00627,2021,Incompleto,35.3,12.0,198.0,2021-08-18 11:15:00,Não informado,1.0,Sul
R00000175,S20210002,A00764,2021,Finalizado,66.2,29.0,278.0,2021-07-19 15:30:00,Desktop,3.0,Online
R00000176,S20210002,A00144,2021,Incompleto,55.8,27.0,199.0,2021-04-27 11:00:00,Desktop,1.0,Não informado
R00000177,S20210002,A00141,2021,Ausente,,,,2021-06-10 00:00:00,Desktop,1.0,Sul
R00000178,S20210002,A00550,2021,Finalizado,51.1,27.0,228.0,2021-05-12 17:15:00,Desktop,1.0,Sul
R00000179,S20210002,A00591,2021,Finalizado,39.4,19.0,169.0,2021-11-02 08:15:00,Papel,1.0,Online
R00000180,S20210002,A00199,2021,Incompleto,47.2,21.0,275.0,2021-10-02 10:45:00,Papel,2.0,Online
R00000181,S20210002,A00120,2021,Finalizado,45.8,20.0,150.0,2021-11-25 10:15:00,Não informado,2.0,Sul
R00000182,S20210002,A00174,2021,Finalizado,49.0,20.0,154.0,2021-10-05 10:45:00,Celular,1.0,Online
R00000183,S20210002,A00578,2021,Finalizado,78.2,36.0,231.0,2021-11-08 09:00:00,Não informado,1.0,Sul
R00000184,S20210002,A00057,2021,Finalizado,82.9,34.0,183.0,2021-10-18 17:00:00,Desktop,3.0,Online
R00000185,S20210002,A00313,2021,Finalizado,78.8,40.0,295.0,2021-09-21 13:45:00,Não informado,1.0,Online
R00000186,S20210002,A00382,2021,Finalizado,54.5,23.0,214.0,2021-04-24 15:00:00,Celular,1.0,Aldeota
R00000187,S20210002,A00750,2021,Incompleto,81.6,39.0,155.0,2021-10-06 14:00:00,Papel,1.0,Sul
R00000188,S20210002,A00294,2021,Finalizado,62.9,27.0,179.0,2021-06-12 12:00:00,Celular,1.0,Online
R00000189,S20210002,A00353,2021,Finalizado,79.5,39.0,181.0,2021-07-11 12:00:00,Tablet,2.0,Centro
R00000190,S20210002,A00288,2021,Finalizado,19.6,10.0,240.0,2021-10-01 19:45:00,Tablet,1.0,Online
R00000191,S20210002,A00494,2021,Finalizado,52.6,25.0,230.0,2021-08-26 08:45:00,Desktop,2.0,Centro
R00000192,S20210002,A00507,2021,Finalizado,35.6,17.0,255.0,2021-11-26 14:30:00,Tablet,1.0,Não informado
R00000193,S20210002,A00306,2021,Finalizado,34.5,15.0,209.0,2021-06-25 08:00:00,Papel,1.0,Online
R00000194,S20210002,A00004,2021,Finalizado,62.7,27.0,231.0,2021-05-11 15:15:00,Desktop,1.0,Não informado
R00000195,S20210002,A00689,2021,Finalizado,42.1,16.0,245.0,2021-09-28 09:30:00,Desktop,1.0,Online
R00000196,S20210002,A00078,2021,Finalizado,79.9,34.0,238.0,2021-05-09 09:15:00,Celular,1.0,Sul
R00000197,S20210002,A00742,2021,Finalizado,71.7,33.0,200.0,2021-10-19 13:15:00,Tablet,1.0,Online
R00000198,S20210002,A00481,2021,Finalizado,25.6,12.0,305.0,2021-09-04 09:15:00,Desktop,1.0,Online
R00000199,S20210002,A00102,2021,Finalizado,54.1,26.0,208.0,2021-05-16 10:45:00,Tablet,2.0,Aldeota
R00000200,S20210002,A00443,2021,Ausente,,,,2021-11-06 14:15:00,Celular,1.0,Não informado
R00000201,S20210002,A00392,2021,Finalizado,87.5,39.0,227.0,2021-05-22 13:30:00,Tablet,1.0,Online
R00000202,S20210002,A00196,2021,Finalizado,63.6,30.0,172.0,2021-06-10 18:45:00,Celular,1.0,Aldeota
R00000203,S20210002,A00140,2021,Finalizado,54.8,27.0,347.0,2021-11-20 18:45:00,Desktop,3.0,Centro
R00000204,S20210002,A00046,2021,Incompleto,79.7,36.0,132.0,2021-05-24 00:00:00,Não informado,3.0,Centro
R00000205,S20210002,A00067,2021,Finalizado,81.8,38.0,264.0,2021-06-03 12:30:00,Desktop,1.0,Não informado
R00000206,S20210002,A00072,2021,Finalizado,77.2,36.0,276.0,2021-11-06 19:45:00,Não informado,1.0,Online
R00000207,S20210002,A00112,2021,Ausente,,,,2021-08-08 16:30:00,Papel,1.0,Sul
R00000208,S20210002,A00372,2021,Finalizado,70.1,29.0,211.0,2021-04-27 08:15:00,Não informado,1.0,Sul
R00000209,S20210002,A00338,2021,Ausente,,,,2021-11-01 00:00:00,Desktop,2.0,Centro
R00000210,S20210002,A00755,2021,Finalizado,76.5,33.0,225.0,2021-06-10 00:00:00,Celular,3.0,Online
R00000211,S20210002,A00296,2021,Ausente,,,,2021-07-07 17:00:00,Desktop,3.0,Sul
R00000212,S20210002,A00502,2021,Incompleto,90.3,37.0,219.0,2021-11-26 17:15:00,Tablet,2.0,Centro
R00000213,S20210002,A00409,2021,Finalizado,91.7,42.0,230.0,2021-04-03 17:45:00,Tablet,2.0,Não informado
R00000214,S20210002,A00229,2021,Finalizado,92.4,41.0,263.0,2021-09-21 14:30:00,Desktop,3.0,Aldeota
R00000215,S20210002,A00026,2021,Finalizado,60.9,26.0,239.0,2021-05-21 12:45:00,Celular,2.0,Aldeota
R00000216,S20210002,A00524,2021,Finalizado,82.1,35.0,330.0,2021-05-16 16:30:00,Celular,2.0,Online
R00000217,S20210002,A00073,2021,Ausente,,,,2021-04-22 08:15:00,Desktop,2.0,Online
R00000218,S20210002,A00774,2021,Finalizado,53.4,25.0,241.0,2021-04-23 08:30:00,Papel,1.0,Online
R00000219,S20210002,A00783,2021,Finalizado,40.8,19.0,260.0,2021-06-27 14:00:00,Desktop,1.0,Centro
R00000220,S20210002,A00262,2021,Finalizado,49.5,23.0,192.0,2021-05-22 15:45:00,Celular,3.0,Sul
R00000221,S20210002,A00323,2021,Finalizado,53.8,25.0,266.0,2021-05-25 12:30:00,Não informado,2.0,Não informado
R00000222,S20210002,A00150,2021,Finalizado,88.1,37.0,122.0,2021-08-20 19:00:00,Papel,3.0,Online
R00000223,S20210002,A00013,2021,Finalizado,58.3,25.0,313.0,2021-05-05 09:30:00,Celular,1.0,Sul
R00000224,S20210002,A00721,2021,Finalizado,51.4,24.0,297.0,2021-04-23 09:30:00,Desktop,1.0,Sul
R00000225,S20210002,A00445,2021,Ausente,,,,2021-04-10 19:00:00,Celular,3.0,Online
R00000226,S20210002,A00720,2021,Finalizado,54.7,25.0,202.0,2021-09-26 15:15:00,Papel,1.0,Online
R00000227,S20210002,A00563,2021,Finalizado,28.6,12.0,188.0,2021-05-08 18:45:00,Desktop,3.0,Não informado
R00000228,S20210002,A00009,2021,Finalizado,76.1,39.0,344.0,2021-09-27 12:00:00,Celular,1.0,Online
R00000229,S20210002,A00368,2021,Finalizado,77.4,35.0,181.0,2021-06-05 14:30:00,Não informado,1.0,Online
R00000230,S20210002,A00108,2021,Finalizado,44.2,18.0,285.0,2021-05-03 18:00:00,Desktop,3.0,Online
R00000231,S20210002,A00355,2021,Finalizado,59.4,24.0,255.0,2021-09-17 19:15:00,Tablet,1.0,Centro
R00000232,S20210002,A00559,2021,Finalizado,66.2,30.0,268.0,2021-04-03 08:15:00,Celular,2.0,Não informado
