aluno_id,ano,aulas_registradas,aulas_presente,taxa_presenca,aprovado,cidade,escola_origem
A00054,2022,80,69,0.8625,1,Crato,Privada
A00055,2025,80,65,0.8125,0,Fortaleza,Privada
A00056,2022,73,64,0.8767,0,Fortaleza,Não informado
A00057,2021,68,65,0.9559,0,Crato,Não informado
A00058,2022,91,81,0.8901,0,Maracanaú,Pública
A00059,2025,90,85,0.9444,1,Caucaia,Privada
A00060,2022,84,75,0.8929,0,Itapipoca,Não informado
A00060,2023,85,72,0.8471,1,Itapipoca,Não informado
A00061,2025,71,62,0.8732,0,Juazeiro do Norte,Pública
A00062,2024,74,66,0.8919,0,Fortaleza,Não informado
A00062,2025,90,77,0.8556,1,Fortaleza,Não informado
A00063,2024,73,67,0.9178,1,Horizonte,Privada
A00063,2025,64,53,0.8281,0,Horizonte,Privada
A00064,2022,89,78,0.8764,0,Sobral,Pública
A00064,2023,48,43,0.8958,1,Sobral,Pública
A00065,2025,77,69,0.8961,0,Maracanaú,Privada
A00066,2023,96,81,0.8438,0,Maracanaú,Pública
A00067,2021,68,60,0.8824,0,Eusébio,Pública
A00068,2024,81,72,0.8889,0,Eusébio,Pública
A00068,2025,98,85,0.8673,1,Eusébio,Pública
A00069,2023,73,64,0.8767,1,Itapipoca,Não informado
A00069,2024,84,75,0.8929,1,Itapipoca,Não informado
A00070,2022,94,84,0.8936,0,Fortaleza,Privada
A00071,2022,62,56,0.9032,0,Aquiraz,Federal
A00072,2021,44,37,0.8409,0,Fortaleza,Pública
A00073,2021,83,75,0.9036,0,Maracanaú,Privada
A00074,2022,87,79,0.908,0,Fortaleza,Pública
A00075,2024,63,59,0.9365,0,Juazeiro do Norte,Privada
A00076,2022,65,61,0.9385,1,Aquiraz,Privada
A00076,2023,95,88,0.9263,0,Aquiraz,Privada
A00077,2022,98,84,0.8571,0,Horizonte,Privada
A00077,2023,85,77,0.9059,1,Horizonte,Privada
A00078,2021,84,69,0.8214,0,Fortaleza,Não informado
A00078,2022,66,52,0.7879,0,Fortaleza,Não informado
A00079,2024,65,60,0.9231,1,Maracanaú,Pública
A00079,2025,85,77,0.9059,0,Maracanaú,Pública
A00080,2023,56,51,0.9107,1,Itapipoca,Pública
A00081,2025,83,76,0.9157,1,Fortaleza,Não informado
A00082,2025,76,65,0.8553,1,Crato,Pública
A00083,2022,99,91,0.9192,1,Crato,Não informado
A00084,2025,62,60,0.9677,0,Fortaleza,Não informado
A00085,2021,81,73,0.9012,1,Pacatuba,Privada
A00086,2025,76,69,0.9079,1,Aquiraz,Privada
A00087,2024,72,60,0.8333,0,Aquiraz,Pública
A00087,2025,76,67,0.8816,1,Aquiraz,Pública
A00088,2022,94,82,0.8723,0,Aquiraz,Privada
A00088,2023,68,61,0.8971,0,Aquiraz,Privada
A00089,2024,96,88,0.9167,0,Aquiraz,Não informado
A00090,2024,57,44,0.7719,1,Sobral,Privada
A00091,2023,96,90,0.9375,0,Aquiraz,Pública
A00091,2024,55,49,0.8909,0,Aquiraz,Pública
A00092,2022,67,60,0.8955,0,Caucaia,Privada
A00093,2024,71,63,0.8873,0,Pacatuba,Pública
A00094,2022,85,68,0.8,0,Crato,Não informado
A00095,2022,74,66,0.8919,0,Fortaleza,Pública
A00095,2023,73,67,0.9178,0,Fortaleza,Pública
A00096,2025,69,59,0.8551,1,Crato,Privada
A00097,2023,77,62,0.8052,0,Horizonte,Não informado
A00098,2022,44,38,0.8636,0,Fortaleza,Privada
A00099,2022,81,70,0.8642,1,Pacatuba,Privada
A00100,2025,56,45,0.8036,0,Aquiraz,Privada
A00101,2023,78,68,0.8718,1,Maracanaú,Federal
A00102,2021,88,77,0.875,0,Horizonte,Federal
A00102,2022,93,83,0.8925,0,Horizonte,Federal
A00102,2023,55,50,0.9091,1,Horizonte,Federal
A00103,2021,64,61,0.9531,0,Pacatuba,Privada
A00104,2022,74,64,0.8649,0,Eusébio,Privada
A00104,2023,72,62,0.8611,0,Eusébio,Privada
A00104,2024,79,76,0.962,0,Eusébio,Privada
A00105,2023,75,69,0.92,0,Aquiraz,Não informado
A00106,2023,75,67,0.8933,0,Horizonte,Privada
A00107,2024,62,55,0.8871,0,Juazeiro do Norte,Federal
A00107,2025,69,63,0.913,1,Juazeiro do Norte,Federal
A00108,2021,58,49,0.8448,1,Itapipoca,Não informado
A00109,2024,43,39,0.907,0,Itapipoca,Privada
A00109,2025,90,79,0.8778,1,Itapipoca,Privada
A00110,2022,57,53,0.9298,1,Juazeiro do Norte,Federal
A00111,2024,84,76,0.9048,0,Crato,Privada
A00111,2025,70,60,0.8571,1,Crato,Privada
A00112,2021,97,86,0.8866,0,Fortaleza,Pública
A00113,2024,59,49,0.8305,0,Aquiraz,Privada
A00113,2025,51,43,0.8431,0,Aquiraz,Privada
A00114,2022,68,62,0.9118,0,Caucaia,Federal
A00114,2023,60,53,0.8833,0,Caucaia,Federal
A00115,2021,83,70,0.8434,0,Maracanaú,Não informado
A00115,2022,64,61,0.9531,0,Maracanaú,Não informado
A00116,2025,56,48,0.8571,0,Caucaia,Pública
A00117,2024,78,71,0.9103,0,Maracanaú,Não informado
A00118,2024,59,51,0.8644,0,Sobral,Pública
A00119,2023,65,61,0.9385,0,Aquiraz,Pública
A00120,2021,60,52,0.8667,0,Maracanaú,Federal
A00120,2022,67,53,0.791,1,Maracanaú,Federal
A00120,2023,64,53,0.8281,1,Maracanaú,Federal
A00121,2023,84,71,0.8452,0,Aquiraz,Federal
A00122,2024,81,73,0.9012,0,Aquiraz,Não informado
A00123,2024,71,62,0.8732,0,Maracanaú,Federal
A00124,2024,57,49,0.8596,1,Maracanaú,Não informado
A00125,2023,63,57,0.9048,0,Fortaleza,Privada
A00125,2024,67,60,0.8955,0,Fortaleza,Privada
A00126,2023,72,67,0.9306,0,Maracanaú,Não informado
A00127,2025,81,71,0.8765,0,Juazeiro do Norte,Federal
A00128,2022,78,69,0.8846,0,Maracanaú,Federal
A00129,2023,56,46,0.8214,1,Itapipoca,Não informado
A00129,2024,74,69,0.9324,0,Itapipoca,Não informado
A00129,2025,80,68,0.85,0,Itapipoca,Não informado
A00130,2025,71,64,0.9014,1,Maracanaú,Pública
A00131,2025,80,73,0.9125,0,Aquiraz,Não informado
A00132,2021,84,80,0.9524,1,Sobral,Pública
A00133,2024,54,53,0.9815,1,Pacatuba,Não informado
A00133,2025,80,67,0.8375,1,Pacatuba,Não informado
A00134,2024,68,62,0.9118,0,Maracanaú,Privada
A00134,2025,59,53,0.8983,0,Maracanaú,Privada
A00135,2022,71,59,0.831,0,Eusébio,Pública
A00136,2025,51,42,0.8235,0,Crato,Não informado
A00137,2021,77,72,0.9351,1,Itapipoca,Privada
A00138,2024,73,66,0.9041,0,Fortaleza,Não informado
A00138,2025,87,76,0.8736,0,Fortaleza,Não informado
A00139,2024,67,57,0.8507,0,Pacatuba,Não informado
A00139,2025,85,81,0.9529,0,Pacatuba,Não informado
A00140,2021,69,61,0.8841,0,Fortaleza,Não informado
A00140,2022,73,65,0.8904,0,Fortaleza,Não informado
A00141,2021,66,56,0.8485,0,Fortaleza,Pública
A00142,2023,58,55,0.9483,0,Caucaia,Pública
A00143,2023,64,58,0.9062,0,Sobral,Privada
A00143,2024,63,57,0.9048,0,Sobral,Privada
A00144,2021,68,61,0.8971,1,Itapipoca,Privada
A00144,2022,108,92,0.8519,0,Itapipoca,Privada
A00144,2023,70,63,0.9,1,Itapipoca,Privada
A00145,2023,71,65,0.9155,0,Maracanaú,Pública
A00145,2024,58,55,0.9483,0,Maracanaú,Pública
A00146,2025,79,76,0.962,0,Aquiraz,Federal
A00147,2023,53,47,0.8868,0,Fortaleza,Não informado
A00148,2022,75,66,0.88,1,Eusébio,Pública
A00149,2025,79,67,0.8481,1,Crato,Pública
A00150,2021,78,67,0.859,0,Caucaia,Privada
A00151,2024,46,43,0.9348,0,Itapipoca,Não informado
A00152,2024,87,79,0.908,1,Maracanaú,Privada
A00152,2025,85,74,0.8706,1,Maracanaú,Privada
A00153,2023,63,54,0.8571,0,Eusébio,Privada
A00154,2023,49,45,0.9184,0,Aquiraz,Não informado
A00155,2022,72,64,0.8889,0,Itapipoca,Não informado
A00156,2023,54,49,0.9074,1,Maracanaú,Privada
A00157,2024,48,40,0.8333,1,Fortaleza,Privada
A00158,2023,82,74,0.9024,1,Fortaleza,Pública
A00159,2024,59,53,0.8983,0,Maracanaú,Pública
A00159,2025,80,71,0.8875,0,Maracanaú,Pública
A00160,2025,76,69,0.9079,0,Crato,Pública
A00161,2025,66,58,0.8788,0,Fortaleza,Federal
A00162,2022,73,63,0.863,1,Aquiraz,Não informado
A00162,2023,83,74,0.8916,0,Aquiraz,Não informado
A00163,2025,94,81,0.8617,0,Sobral,Federal
A00164,2025,65,57,0.8769,0,Itapipoca,Não informado
A00165,2025,74,69,0.9324,0,Horizonte,Privada
A00166,2025,78,72,0.9231,0,Sobral,Não informado
A00167,2021,68,63,0.9265,0,Sobral,Não informado
A00168,2024,64,58,0.9062,0,Caucaia,Pública
A00168,2025,75,69,0.92,0,Caucaia,Pública
A00169,2024,79,68,0.8608,0,Itapipoca,Pública
A00170,2025,55,44,0.8,0,Maracanaú,Não informado
A00171,2023,52,45,0.8654,1,Maracanaú,Não informado
A00172,2024,86,71,0.8256,0,Maracanaú,Não informado
A00173,2025,64,58,0.9062,1,Maracanaú,Federal
A00174,2021,86,75,0.8721,0,Eusébio,Pública
A00175,2023,62,56,0.9032,1,Horizonte,Federal
A00175,2024,62,57,0.9194,0,Horizonte,Federal
A00176,2021,47,43,0.9149,1,Fortaleza,Não informado
A00177,2023,72,62,0.8611,1,Horizonte,Privada
A00177,2024,61,51,0.8361,0,Horizonte,Privada
A00178,2024,82,77,0.939,0,Fortaleza,Não informado
A00179,2022,77,66,0.8571,0,Aquiraz,Privada
A00180,2023,89,77,0.8652,0,Caucaia,Pública
A00181,2022,73,63,0.863,1,Fortaleza,Pública
A00182,2023,79,67,0.8481,1,Maracanaú,Pública
A00183,2024,73,65,0.8904,0,Eusébio,Pública
A00184,2022,50,44,0.88,0,Crato,Pública
A00185,2023,68,62,0.9118,0,Sobral,Não informado
A00185,2024,53,46,0.8679,1,Sobral,Não informado
A00186,2024,87,78,0.8966,0,Maracanaú,Não informado
A00187,2022,83,73,0.8795,1,Pacatuba,Privada
A00188,2023,86,75,0.8721,0,Fortaleza,Federal
A00189,2023,51,44,0.8627,0,Juazeiro do Norte,Privada
A00189,2024,76,62,0.8158,0,Juazeiro do Norte,Privada
A00190,2025,93,81,0.871,0,Sobral,Privada
A00191,2021,67,56,0.8358,0,Maracanaú,Privada
A00192,2023,79,67,0.8481,0,Aquiraz,Não informado
A00193,2024,69,64,0.9275,1,Caucaia,Não informado
A00194,2024,83,70,0.8434,0,Horizonte,Não informado
A00194,2025,81,76,0.9383,0,Horizonte,Não informado
A00195,2022,66,57,0.8636,0,Itapipoca,Não informado
A00196,2021,70,62,0.8857,0,Pacatuba,Não informado
A00197,2023,52,46,0.8846,1,Eusébio,Privada
A00198,2025,77,67,0.8701,0,Fortaleza,Privada
A00199,2021,80,72,0.9,1,Caucaia,Pública
A00200,2024,68,60,0.8824,0,Pacatuba,Pública
A00201,2023,87,75,0.8621,1,Sobral,Privada
A00201,2024,72,63,0.875,0,Sobral,Privada
A00201,2025,91,80,0.8791,0,Sobral,Privada
A00202,2024,81,72,0.8889,0,Fortaleza,Federal
A00202,2025,92,79,0.8587,1,Fortaleza,Federal
A00203,2023,92,80,0.8696,0,Maracanaú,Privada
A00204,2024,66,55,0.8333,0,Pacatuba,Privada
A00205,2024,54,47,0.8704,0,Itapipoca,Não informado
A00206,2024,48,42,0.875,1,Pacatuba,Pública
A00206,2025,78,69,0.8846,0,Pacatuba,Pública
A00207,2023,67,60,0.8955,0,Fortaleza,Privada
A00208,2023,72,70,0.9722,0,Fortaleza,Não informado
A00208,2024,63,55,0.873,0,Fortaleza,Não informado
A00209,2023,80,66,0.825,1,Horizonte,Pública
A00209,2024,61,53,0.8689,0,Horizonte,Pública
A00209,2025,95,83,0.8737,1,Horizonte,Pública
A00210,2023,74,65,0.8784,0,Eusébio,Privada
A00211,2021,61,58,0.9508,1,Fortaleza,Privada
A00212,2021,65,59,0.9077,0,Eusébio,Privada
A00213,2024,92,73,0.7935,0,Sobral,Federal
A00213,2025,91,78,0.8571,0,Sobral,Federal
A00214,2023,56,51,0.9107,1,Caucaia,Pública
A00215,2022,104,87,0.8365,0,Pacatuba,Pública
A00216,2021,76,68,0.8947,1,Pacatuba,Não informado
A00217,2022,70,60,0.8571,0,Fortaleza,Não informado
A00218,2023,65,55,0.8462,0,Aquiraz,Pública
A00219,2024,62,55,0.8871,0,Fortaleza,Pública
A00219,2025,92,72,0.7826,0,Fortaleza,Pública
A00220,2025,59,56,0.9492,1,Sobral,Privada
A00221,2024,54,49,0.9074,0,Caucaia,Não informado
A00222,2023,94,82,0.8723,0,Caucaia,Federal
A00222,2024,77,67,0.8701,0,Caucaia,Federal
A00223,2025,82,72,0.878,1,Fortaleza,Privada
A00224,2023,71,62,0.8732,1,Horizonte,Não informado
A00224,2024,81,76,0.9383,0,Horizonte,Não informado
A00225,2023,71,62,0.8732,0,Maracanaú,Pública
A00225,2024,55,49,0.8909,0,Maracanaú,Pública
A00226,2023,64,55,0.8594,0,Horizonte,Privada
A00226,2024,65,56,0.8615,0,Horizonte,Privada
A00226,2025,85,77,0.9059,1,Horizonte,Privada
A00227,2021,51,45,0.8824,1,Fortaleza,Privada
A00228,2022,90,82,0.9111,0,Crato,Privada
A00229,2021,47,37,0.7872,0,Eusébio,Privada
A00230,2024,62,53,0.8548,1,Fortaleza,Privada
A00231,2024,77,69,0.8961,0,Pacatuba,Federal
A00232,2022,88,75,0.8523,1,Maracanaú,Federal
A00232,2023,88,75,0.8523,1,Maracanaú,Federal
A00232,2024,72,63,0.875,0,Maracanaú,Federal
A00233,2024,71,65,0.9155,0,Fortaleza,Privada
A00234,2022,94,80,0.8511,0,Caucaia,Federal
A00235,2024,55,50,0.9091,0,Maracanaú,Federal
A00236,2023,87,76,0.8736,0,Maracanaú,Federal
A00236,2024,78,74,0.9487,0,Maracanaú,Federal
A00237,2021,77,69,0.8961,0,Maracanaú,Privada
A00238,2025,84,67,0.7976,1,Eusébio,Federal
A00239,2023,75,69,0.92,1,Fortaleza,Não informado
A00240,2022,67,61,0.9104,0,Horizonte,Federal
A00240,2023,96,86,0.8958,0,Horizonte,Federal
A00241,2021,99,94,0.9495,0,Fortaleza,Federal
A00242,2022,58,54,0.931,0,Aquiraz,Federal
A00243,2023,55,47,0.8545,0,Caucaia,Não informado
A00244,2025,66,55,0.8333,0,Eusébio,Privada
A00245,2023,95,81,0.8526,0,Fortaleza,Pública
A00246,2022,59,50,0.8475,0,Eusébio,Pública
A00247,2024,56,51,0.9107,1,Fortaleza,Privada
A00247,2025,62,57,0.9194,0,Fortaleza,Privada
A00248,2021,76,60,0.7895,0,Caucaia,Privada
A00249,2022,63,59,0.9365,0,Juazeiro do Norte,Privada
A00249,2023,88,75,0.8523,0,Juazeiro do Norte,Privada
A00250,2022,79,74,0.9367,0,Itapipoca,Privada
A00250,2023,72,59,0.8194,1,Itapipoca,Privada
A00250,2024,70,60,0.8571,1,Itapipoca,Privada
A00251,2023,73,66,0.9041,1,Pacatuba,Federal
A00252,2025,71,63,0.8873,1,Aquiraz,Federal
A00253,2025,58,55,0.9483,0,Juazeiro do Norte,Federal
A00254,2025,60,51,0.85,1,Fortaleza,Privada
A00255,2023,44,38,0.8636,0,Maracanaú,Pública
A00256,2024,53,49,0.9245,0,Fortaleza,Pública
A00256,2025,80,69,0.8625,0,Fortaleza,Pública
A00257,2024,82,72,0.878,0,Eusébio,Privada
A00258,2024,63,58,0.9206,0,Fortaleza,Não informado
A00259,2025,59,49,0.8305,1,Fortaleza,Federal
A00260,2024,77,67,0.8701,1,Aquiraz,Pública
A00261,2025,67,58,0.8657,0,Eusébio,Não informado
A00262,2021,48,44,0.9167,1,Eusébio,Privada
A00263,2025,85,70,0.8235,1,Sobral,Privada
A00264,2022,82,72,0.878,0,Fortaleza,Federal
A00265,2024,83,74,0.8916,1,Horizonte,Federal
A00265,2025,89,76,0.8539,0,Horizonte,Federal
A00266,2025,71,64,0.9014,0,Pacatuba,Federal
A00267,2024,85,75,0.8824,0,Itapipoca,Privada
A00267,2025,66,62,0.9394,0,Itapipoca,Privada
A00268,2021,66,59,0.8939,0,Horizonte,Privada
A00269,2023,80,73,0.9125,0,Maracanaú,Privada
A00270,2024,77,71,0.9221,1,Juazeiro do Norte,Privada
A00271,2024,51,46,0.902,0,Fortaleza,Pública
A00271,2025,60,53,0.8833,0,Fortaleza,Pública
A00272,2023,66,57,0.8636,0,Maracanaú,Privada
A00273,2023,60,58,0.9667,1,Eusébio,Pública
A00274,2025,80,72,0.9,1,Eusébio,Pública
A00275,2021,80,69,0.8625,0,Fortaleza,Privada
A00275,2022,72,67,0.9306,1,Fortaleza,Privada
A00276,2023,76,62,0.8158,1,Eusébio,Privada
A00277,2024,75,69,0.92,1,Maracanaú,Pública
A00278,2024,67,60,0.8955,0,Maracanaú,Pública
A00279,2023,73,65,0.8904,1,Maracanaú,Privada
A00280,2021,80,73,0.9125,0,Fortaleza,Pública
A00281,2025,67,63,0.9403,0,Juazeiro do Norte,Privada
A00282,2022,82,68,0.8293,0,Maracanaú,Federal
A00283,2022,83,70,0.8434,0,Maracanaú,Pública
A00283,2023,95,80,0.8421,0,Maracanaú,Pública
A00283,2024,72,62,0.8611,1,Maracanaú,Pública
A00284,2023,74,66,0.8919,0,Itapipoca,Privada
A00285,2025,80,70,0.875,0,Juazeiro do Norte,Privada
A00286,2025,59,52,0.8814,1,Sobral,Federal
A00287,2024,62,52,0.8387,0,Eusébio,Privada
A00288,2021,68,60,0.8824,1,Fortaleza,Pública
A00288,2022,73,58,0.7945,0,Fortaleza,Pública
A00289,2021,80,74,0.925,0,Itapipoca,Não informado
A00290,2025,77,67,0.8701,0,Crato,Pública
A00291,2022,75,67,0.8933,0,Fortaleza,Federal
A00292,2023,63,57,0.9048,0,Itapipoca,Não informado
A00293,2023,80,73,0.9125,0,Crato,Pública
A00294,2021,78,67,0.859,1,Crato,Privada
A00295,2021,69,61,0.8841,0,Caucaia,Não informado
A00296,2021,62,54,0.871,0,Sobral,Privada
A00296,2022,91,79,0.8681,0,Sobral,Privada
A00297,2025,49,41,0.8367,1,Itapipoca,Pública
A00298,2023,60,58,0.9667,1,Pacatuba,Privada
A00299,2022,85,75,0.8824,1,Fortaleza,Privada
A00300,2025,93,79,0.8495,1,Aquiraz,Pública
A00301,2022,67,59,0.8806,0,Aquiraz,Pública
A00302,2024,55,49,0.8909,0,Sobral,Privada
A00303,2022,65,57,0.8769,1,Maracanaú,Pública
A00303,2023,75,69,0.92,1,Maracanaú,Pública
A00304,2022,87,70,0.8046,1,Eusébio,Pública
A00304,2023,86,78,0.907,1,Eusébio,Pública
A00305,2025,84,81,0.9643,1,Fortaleza,Não informado
A00306,2021,62,55,0.8871,0,Fortaleza,Pública
A00307,2021,98,84,0.8571,0,Fortaleza,Privada
A00308,2024,61,56,0.918,0,Pacatuba,Não informado
A00309,2023,82,72,0.878,0,Caucaia,Pública
A00310,2023,82,70,0.8537,1,Fortaleza,Privada
A00311,2023,68,60,0.8824,0,Fortaleza,Privada
A00311,2024,46,38,0.8261,0,Fortaleza,Privada
A00312,2025,67,59,0.8806,0,Eusébio,Pública
A00313,2021,75,67,0.8933,1,Itapipoca,Privada
A00313,2022,92,80,0.8696,1,Itapipoca,Privada
A00314,2022,95,75,0.7895,0,Maracanaú,Pública
A00315,2024,62,57,0.9194,0,Juazeiro do Norte,Não informado
A00315,2025,81,71,0.8765,0,Juazeiro do Norte,Não informado
A00316,2023,67,60,0.8955,1,Maracanaú,Pública
A00317,2024,66,59,0.8939,0,Caucaia,Não informado
A00317,2025,95,84,0.8842,0,Caucaia,Não informado
A00318,2024,79,70,0.8861,0,Eusébio,Pública
A00319,2023,69,60,0.8696,0,Crato,Não informado
A00320,2025,80,69,0.8625,0,Horizonte,Não informado
A00321,2025,64,58,0.9062,0,Fortaleza,Não informado
A00322,2023,83,74,0.8916,0,Caucaia,Privada
A00323,2021,60,53,0.8833,1,Itapipoca,Privada
A00324,2022,81,70,0.8642,0,Sobral,Não informado
A00324,2023,87,77,0.8851,0,Sobral,Não informado
A00325,2021,84,77,0.9167,1,Pacatuba,Pública
A00326,2023,82,76,0.9268,0,Caucaia,Não informado
A00326,2024,72,69,0.9583,0,Caucaia,Não informado
A00327,2025,84,73,0.869,0,Caucaia,Federal
A00328,2021,60,53,0.8833,0,Fortaleza,Privada
A00328,2022,97,87,0.8969,0,Fortaleza,Privada
A00329,2024,83,74,0.8916,0,Caucaia,Não informado
A00329,2025,85,75,0.8824,0,Caucaia,Não informado
A00330,2022,76,68,0.8947,0,Itapipoca,Privada
A00331,2025,86,79,0.9186,1,Fortaleza,Não informado
A00332,2023,82,69,0.8415,0,Horizonte,Privada
A00333,2021,69,56,0.8116,1,Horizonte,Privada
A00334,2024,65,56,0.8615,0,Juazeiro do Norte,Privada
A00335,2025,74,63,0.8514,0,Juazeiro do Norte,Privada
A00336,2022,91,82,0.9011,0,Horizonte,Não informado
A00337,2025,66,61,0.9242,0,Itapipoca,Não informado
A00338,2021,67,64,0.9552,0,Fortaleza,Privada
A00338,2022,60,58,0.9667,0,Fortaleza,Privada
A00339,2022,97,83,0.8557,0,Juazeiro do Norte,Não informado
A00340,2021,64,53,0.8281,1,Aquiraz,Não informado
A00341,2025,94,83,0.883,0,Pacatuba,Federal
A00342,2024,63,55,0.873,0,Juazeiro do Norte,Pública
A00343,2021,74,68,0.9189,0,Pacatuba,Privada
A00343,2022,101,90,0.8911,0,Pacatuba,Privada
A00344,2022,66,58,0.8788,0,Juazeiro do Norte,Não informado
A00344,2023,53,46,0.8679,0,Juazeiro do Norte,Não informado
A00345,2024,79,74,0.9367,0,Crato,Privada
A00346,2021,69,62,0.8986,0,Maracanaú,Não informado
A00346,2022,92,81,0.8804,0,Maracanaú,Não informado
A00347,2021,55,47,0.8545,0,Sobral,Pública
A00348,2024,65,58,0.8923,0,Sobral,Pública
A00349,2024,89,78,0.8764,1,Aquiraz,Não informado
A00349,2025,61,52,0.8525,0,Aquiraz,Não informado
A00350,2023,46,43,0.9348,0,Caucaia,Não informado
A00351,2025,79,73,0.9241,0,Horizonte,Não informado
A00352,2024,69,57,0.8261,1,Eusébio,Pública
A00353,2021,87,80,0.9195,0,Caucaia,Pública
A00354,2021,86,77,0.8953,0,Crato,Não informado
A00355,2021,59,48,0.8136,0,Eusébio,Pública
A00355,2022,72,65,0.9028,1,Eusébio,Pública
A00356,2021,50,45,0.9,1,Horizonte,Não informado
A00357,2024,63,59,0.9365,1,Itapipoca,Federal
A00357,2025,64,57,0.8906,1,Itapipoca,Federal
A00358,2023,68,61,0.8971,0,Sobral,Pública
A00359,2024,90,84,0.9333,0,Sobral,Não informado
A00360,2025,56,49,0.875,0,Pacatuba,Pública
A00361,2025,62,52,0.8387,0,Maracanaú,Não informado
A00362,2023,61,52,0.8525,0,Caucaia,Não informado
A00363,2021,80,67,0.8375,1,Aquiraz,Privada
A00363,2022,56,46,0.8214,0,Aquiraz,Privada
A00364,2023,78,68,0.8718,1,Fortaleza,Não informado
A00365,2021,77,66,0.8571,0,Maracanaú,Não informado
A00366,2025,68,61,0.8971,0,Fortaleza,Privada
A00367,2025,79,71,0.8987,1,Maracanaú,Não informado
